Wystąpienia
"linijka: 1, pozycja: 9"
"linijka: 2, pozycja: 15"
"linijka: 3, pozycja: 26"
"linijka: 5, pozycja: 17"
"linijka: 6, pozycja: 15"
"linijka: 7, pozycja: 9"
"linijka: 10, pozycja: 9"
"linijka: 16, pozycja: 7"
"linijka: 17, pozycja: 1"
"linijka: 18, pozycja: 22"
"linijka: 20, pozycja: 27"
"linijka: 21, pozycja: 9"
"linijka: 22, pozycja: 15"
"linijka: 23, pozycja: 26"
"linijka: 25, pozycja: 17"
"linijka: 26, pozycja: 15"
"linijka: 27, pozycja: 9"
"linijka: 30, pozycja: 9"
"linijka: 36, pozycja: 7"
"linijka: 37, pozycja: 1"
"linijka: 38, pozycja: 22"
"linijka: 40, pozycja: 27"
"linijka: 41, pozycja: 9"
"linijka: 42, pozycja: 15"
"linijka: 43, pozycja: 26"
"linijka: 45, pozycja: 17"
"linijka: 46, pozycja: 15"
"linijka: 47, pozycja: 9"
"linijka: 50, pozycja: 9"
"linijka: 56, pozycja: 7"
"linijka: 57, pozycja: 1"
"linijka: 58, pozycja: 22"
"linijka: 60, pozycja: 27"
"linijka: 61, pozycja: 9"
"linijka: 62, pozycja: 15"
"linijka: 63, pozycja: 26"
"linijka: 65, pozycja: 17"
"linijka: 66, pozycja: 15"
"linijka: 67, pozycja: 9"
"linijka: 70, pozycja: 9"
"linijka: 76, pozycja: 7"
"linijka: 77, pozycja: 1"
"linijka: 78, pozycja: 22"
"linijka: 80, pozycja: 27"
"linijka: 81, pozycja: 9"
"linijka: 82, pozycja: 15"
"linijka: 83, pozycja: 26"
"linijka: 85, pozycja: 17"
"linijka: 86, pozycja: 15"
"linijka: 87, pozycja: 9"
"linijka: 90, pozycja: 9"
"linijka: 96, pozycja: 7"
"linijka: 97, pozycja: 1"
"linijka: 98, pozycja: 22"
"linijka: 100, pozycja: 27"
"linijka: 101, pozycja: 9"
"linijka: 102, pozycja: 15"
"linijka: 103, pozycja: 26"
"linijka: 105, pozycja: 17"
"linijka: 106, pozycja: 15"
"linijka: 107, pozycja: 9"
"linijka: 110, pozycja: 9"
"linijka: 116, pozycja: 7"
"linijka: 117, pozycja: 1"
"linijka: 118, pozycja: 22"
"linijka: 120, pozycja: 27"
"linijka: 121, pozycja: 9"
"linijka: 122, pozycja: 15"
"linijka: 123, pozycja: 26"
"linijka: 125, pozycja: 17"
"linijka: 126, pozycja: 15"
"linijka: 127, pozycja: 9"
"linijka: 130, pozycja: 9"
"linijka: 136, pozycja: 7"
"linijka: 137, pozycja: 1"
"linijka: 138, pozycja: 22"
"linijka: 140, pozycja: 27"
"linijka: 141, pozycja: 9"
"linijka: 142, pozycja: 15"
"linijka: 143, pozycja: 26"
"linijka: 145, pozycja: 17"
"linijka: 146, pozycja: 15"
"linijka: 147, pozycja: 9"
"linijka: 150, pozycja: 9"
"linijka: 156, pozycja: 7"
"linijka: 157, pozycja: 1"
"linijka: 158, pozycja: 22"
"linijka: 160, pozycja: 27"
"linijka: 161, pozycja: 9"
"linijka: 162, pozycja: 15"
"linijka: 163, pozycja: 26"
"linijka: 165, pozycja: 17"
"linijka: 166, pozycja: 15"
"linijka: 167, pozycja: 9"
"linijka: 170, pozycja: 9"
"linijka: 176, pozycja: 7"
"linijka: 177, pozycja: 1"
"linijka: 178, pozycja: 22"
"linijka: 180, pozycja: 27"
"linijka: 181, pozycja: 9"
"linijka: 182, pozycja: 15"
"linijka: 183, pozycja: 26"
"linijka: 185, pozycja: 17"
"linijka: 186, pozycja: 15"
"linijka: 187, pozycja: 9"
"linijka: 190, pozycja: 9"
"linijka: 196, pozycja: 7"
"linijka: 197, pozycja: 1"
"linijka: 198, pozycja: 22"
"linijka: 200, pozycja: 27"
